"","district","lat","long","income"
"100","Princess-Rosethorn",43.6665058517857,-79.5468062589286,99055
"101","Regent Park",43.6595955329114,-79.3616377278481,34597
"102","Rexdale-Kipling",43.7227150527778,-79.56579295,34418
"103","Rockcliffe-Smythe",43.6755238793103,-79.4947722310345,34059
"104","Roncesvalles",43.646780121875,-79.443573059375,50580
"105","Rosedale-Moore Park",43.6811739236641,-79.3826987969466,207903
"106","Rouge",43.8070595796053,-79.1776614519737,39556
"107","Runnymede-Bloor West Village",43.659019404,-79.485601742,71888
"108","Rustic",43.7109644,-79.4983732352941,31800
"109","Scarborough Village",43.7412619392405,-79.2160743303797,32913
"110","South Parkdale",43.6391296155844,-79.4346264532468,35207
"111","South Riverdale",43.6633056319372,-79.3406728628272,53803
"112","St.Andrew-Windfields",43.752857525,-79.391233225,100516
"113","Steeles",43.8137941352113,-79.3211593464789,31786
"114","Stonegate-Queensway",43.6351449087719,-79.5037019859649,64140
"115","Tam O'Shanter-Sullivan",43.7813092675676,-79.2998392792793,34200
"116","Taylor-Massey",43.6950599229508,-79.2944098852459,30430
"117","The Beaches",43.672173325,-79.2995451229167,92580
"118","Thistletown-Beaumond Heights",43.7388973086956,-79.5631171913043,32815
"119","Thorncliffe Park",43.7110337769231,-79.3529504974359,28875
"120","Trinity-Bellwoods",43.6501529861111,-79.4158634513889,50694
"121","University",43.6628798653846,-79.4056229076923,50757
"122","Victoria Village",43.7267728093023,-79.3081540534884,35786
"123","Waterfront Communities-The Island",43.6440927932056,-79.3867585592334,70600
"124","West Hill",43.7672909292035,-79.1829290265487,33323
"125","West Humber-Clairville",43.7296371121622,-79.5990549101351,31771
"126","Westminster-Branson",43.7814895426829,-79.4499638512195,32724
"127","Weston",43.702465347541,-79.5172803967213,32997
"128","Weston-Pelham Park",43.6745260039216,-79.4593169607843,33528
"129","Wexford/Maryvale",43.751068499,-79.301730491,35047
"130","Willowdale East",43.7665778344371,-79.4079102591611,45326
"131","Willowdale West",43.7736203958904,-79.4202033452055,44576
"132","Willowridge-Martingrove-Richview",43.6838579455882,-79.5545540691176,44177
"133","Woburn",43.7715767836449,-79.2371415808411,30878
"134","Woodbine-Lumsden",43.6932388017241,-79.3108118637931,47710
"135","Woodbine Corridor",43.677404404,-79.3159677693333,55199
"136","Wychwood",43.6783261492754,-79.4262060289855,54460
"137","Yonge-Eglinton",43.7053758861538,-79.4021344569231,89330
"138","Yonge-St.Clair",43.6873870347222,-79.3975224416667,114174
"139","York University Heights",43.7576792724138,-79.4881817362069,29958
"140","Yorkdale-Glen Park",43.7129221826923,-79.4563310711538,38527
